feature_id	pathway	FC_reported	FC_recomputed	log2FC_reported	log2FC_recomputed	FDR_p_reported	C8_mean	G8_mean	is_transgene	sgd_description	synonym
SPR3		2.07	2.07401	1.04963	1.05242	4.0000000000000003E-5	37.27	17.97	no	Sporulation-specific homolog of the CDC3/10/11/12 family of genes	YGR059W|septin SPR3
IMA2		2.09	2.08565	1.0635	1.06049	6.8800000000000003E-4	26.3	12.61	no	Isomaltase (alpha-1,6-glucosidase/alpha-methylglucosidase)	YOL157C
YET2		2.1	2.10247	1.07039	1.07209	1.8600000000000001E-8	63.81	30.35	no	Protein of unknown function that may interact with ribosomes	YMR040W
GTT1		2.12	2.11531	1.08406	1.08087	0	489.63	231.47	no	ER associated glutathione S-transferase capable of homodimerization	YIR038C|bifunctional glutathione transferase/peroxidase
LIA1		2.12	2.11671	1.08406	1.08182	0	506.57	239.32	no	Deoxyhypusine hydroxylase	YJR070C|MMD1
YCL012C		2.12	2.11676	1.08406	1.08185	7.0100000000000002E-12	90.83	42.91	no	Putative protein of unknown function	YCL012C|YCL011C-A
YCL048W-A		2.13	2.12822	1.09085	1.08965	6.1600000000000004E-10	235.53	110.67	no	Putative protein of unknown function	YCL048W-A
YHR022C		2.13	2.13219	1.09085	1.09234	1.1899999999999999E-7	63.39	29.73	no	Putative protein of unknown function	YHR022C
NNK1		2.13	2.13198	1.09085	1.09219	1.8600000000000001E-5	37.8	17.73	no	Protein kinase	YKL171W
YNL194C		2.14	2.138	1.09761	1.09626	1.54E-4	30.21	14.13	no	Integral membrane protein	YNL194C
gh1-1		2.16	2.16056	1.11103	1.11141	0	2013.08	931.74	yes	2	
YLR146W-A		2.16	2.16046	1.11103	1.11134	2.36E-13	98.56	45.62	no	Putative protein of unknown function	YLR146W-A
SPR28		2.16	2.16283	1.11103	1.11292	1.88E-5	36.66	16.95	no	Sporulation-specific homolog of the CDC3/10/11/12 family of genes	YDR218C|septin SPR28
DAL80		2.17	2.1706	1.1177	1.1181	2.7799999999999999E-9	66.16	30.48	no	Negative regulator of genes in multiple nitrogen degradation pathways	YKR034W|UGA43
ERV2		2.17	2.17327	1.1177	1.11987	0	201.18	92.57	no	Flavin-linked sulfhydryl oxidase localized to the ER lumen	YPR037C
FMP10		2.17	2.17398	1.1177	1.12034	5.2000000000000001E-15	109.46	50.35	no	Putative protein of unknown function	YER182W
FMP46		2.17	2.17428	1.1177	1.12054	0	259	119.12	no	Putative redox protein containing a thioredoxin fold	YKR049C
COS111		2.18	2.17585	1.12433	1.12158	5.2200000000000002E-5	32.79	15.07	no	Protein required for antifungal drug ciclopirox olamine resistance	YBR203W
POP6		2.18	2.1768	1.12433	1.12221	1.7800000000000001E-14	106.01	48.7	no	Subunit of both RNase MRP and nuclear RNase P	YGR030C
YBR255C-A		2.18	2.18035	1.12433	1.12456	0	196.82	90.27	no	Putative protein of unknown function	YBR255C-A
FUI1		2.21	2.20618	1.14405	1.14155	5.2000000000000001E-15	107.75	48.84	no	High affinity uridine permease, localizes to the plasma membrane	YBL042C
MBR1		2.22	2.22368	1.15056	1.15295	1.79E-9	64.42	28.97	no	Protein involved in mitochondrial functions and stress response	YKL093W
HPT1		2.23	2.23192	1.15704	1.15828	0	697.14	312.35	no	Dimeric hypoxanthine-guanine phosphoribosyltransferase	YDR399W|BRA6|HPRT|hypoxanthine phosphoribosyltransferase
NUM1		2.25	2.25	1.16993	1.16993	8.0400000000000003E-5	29.34	13.04	no	Protein required for nuclear migration	YDR150W|PAC12
SED1		2.26	2.26012	1.17632	1.1764	0	7096.02	3139.66	no	Major stress-induced structural GPI-cell wall glycoprotein	YDR077W
ATG34		2.28	2.27742	1.18903	1.1874	5.2000000000000001E-15	100.07	43.94	no	Receptor protein involved in selective autophagy during starvation	YOL083W|ATG19-B
DOG2		2.28	2.28353	1.18903	1.19126	0	226.8	99.32	no	2-deoxyglucose-6-phosphate phosphatase	YHR043C
KGD1		2.3	2.29655	1.20163	1.19947	0	122.36	53.28	no	Subunit of the mitochondrial alpha-ketoglutarate dehydrogenase complex	YIL125W|OGD1|alpha-ketoglutarate dehydrogenase KGD1
FUR4		2.31	2.30958	1.20789	1.20763	2.6399999999999998E-7	45.06	19.51	no	Plasma membrane localized uracil permease	YBR021W
CRS5		2.32	2.32286	1.21412	1.2159	0	584.85	251.78	no	Copper-binding metallothionein	YOR031W
HFD1		2.33	2.32841	1.22033	1.21934	4.4500000000000002E-13	83.52	35.87	no	Hexadecenal dehydrogenase	YMR110C
GDH3		2.33	2.3314	1.22033	1.22119	0	325.02	139.41	no	NADP(+)-dependent glutamate dehydrogenase	YAL062W|FUN51|glutamate dehydrogenase (NADP(+)) GDH3
HSP104		2.34	2.34249	1.22651	1.22805	0	380.14	162.28	no	Disaggregase	YLL026W|chaperone ATPase HSP104
MRK1		2.37	2.36522	1.24489	1.24198	0	109.77	46.41	no	Glycogen synthase kinase 3 (GSK-3) homolog	YDL079C
VID24		2.37	2.37226	1.24489	1.24626	0	489.73	206.44	no	GID Complex regulatory subunit	YBR105C|GID4|glucose-induced degradation complex subunit VID24
MOS1		2.38	2.37762	1.25096	1.24952	0	609.36	256.29	no	Mitochondrial protein essential for proper inner membrane organization	YCL057C-A|MCS10|MIO10
COA2		2.39	2.39157	1.25701	1.25796	2.4299999999999999E-12	74.88	31.31	no	Cytochrome oxidase assembly factor	YPL189C-A
PMA2		2.4	2.39633	1.26303	1.26083	3.9E-13	79.75	33.28	no	Plasma membrane H+-ATPase	YPL036W|H(+)-exporting P2-type ATPase PMA2
CYT1		2.4	2.39671	1.26303	1.26106	0	116.72	48.7	no	Cytochrome c1	YOR065W|CTC1|YOR29-16|ubiquinol--cytochrome-c reductase catalytic subunit CYT1
MSC1		2.41	2.40552	1.26903	1.26635	0	301.7	125.42	no	Protein of unknown function	YML128C
LSC2		2.42	2.41763	1.27501	1.27359	0	293.21	121.28	no	Beta subunit of succinyl-CoA ligase	YGR244C|succinate--CoA ligase (GDP-forming) subunit beta
GSM1		2.43	2.43016	1.28096	1.28105	1.1999999999999999E-6	37.06	15.25	no	Putative zinc cluster protein of unknown function	YJL103C
YHR050W-A		2.43	2.43289	1.28096	1.28267	4.66E-8	45.86	18.85	no	Protein of unknown function	YHR050W-A
CWP1		2.44	2.43561	1.28688	1.28428	1.4000000000000001E-10	127.09	52.18	no	Cell wall mannoprotein that localizes to birth scars of daughter cells	YKL096W|YJU1
YKL050C		2.44	2.44061	1.28688	1.28724	7.9199999999999995E-4	19.11	7.83	no	Protein of unknown function	YKL050C
YDR461C-A		2.44	2.4421	1.28688	1.28812	0	278.35	113.98	no	Putative protein of unknown function	YDR461C-A
RRT15		2.46	2.45632	1.29866	1.2965	2.7999999999999999E-6	59.05	24.04	no	Putative protein of unknown function	YLR162W-A
GLC3		2.46	2.45773	1.29866	1.29732	0	249.41	101.48	no	Glycogen branching enzyme, involved in glycogen accumulation	YEL011W|1,4-alpha-glucan branching enzyme|GHA1
YKL107W		2.46	2.45709	1.29866	1.29695	9.4699999999999998E-5	24.62	10.02	no	Putative short-chain dehydrogenase/reductase	YKL107W|putative short-chain dehydrogenase/reductase
RPS22B		2.46	2.45791	1.29866	1.29743	0	544.5	221.53	no	Protein component of the small (40S) ribosomal subunit	YLR367W|ribosomal 40S subunit protein S22B
RCK1		2.46	2.46319	1.29866	1.30053	9.2299999999999999E-4	18.4	7.47	no	Protein kinase involved in the response to oxidative stress	YGL158W
GUT1		2.48	2.47546	1.31034	1.3077	0	145.78	58.89	no	Glycerol kinase	YHL032C|glycerol kinase
ATP4		2.48	2.48186	1.31034	1.31142	0	720.26	290.21	no	Subunit b of the stator stalk of mitochondrial F1F0 ATP synthase	YPL078C|F1F0 ATP synthase subunit 4|LPF7
ECM12		2.49	2.48536	1.31615	1.31346	2.03E-10	58.58	23.57	no	Putative protein of unknown function	YHR021W-A
PDC6		2.49	2.49269	1.31615	1.3177	6.5200000000000005E-13	73.31	29.41	no	Minor isoform of pyruvate decarboxylase	YGR087C|indolepyruvate decarboxylase 6
CIR2		2.51	2.51308	1.32769	1.32945	1.5599999999999999E-7	40.36	16.06	no	Putative ortholog of human ETF-dH	YOR356W
ACH1		2.52	2.52209	1.33342	1.33462	0	183.28	72.67	no	Protein with CoA transferase activity	YBL015W
RTC3		2.52	2.52298	1.33342	1.33513	0	288.25	114.25	no	Protein of unknown function involved in RNA metabolism	YHR087W|HGI1
YCL042W		2.54	2.53642	1.34483	1.3428	0	191.5	75.5	no	Putative protein of unknown function	YCL042W
PNC1		2.54	2.5387	1.34483	1.34409	0	1026.22	404.23	no	Nicotinamidase that converts nicotinamide to nicotinic acid	YGL037C|nicotinamidase
AIM41		2.55	2.55318	1.3505	1.35229	0	223.25	87.44	no	Putative protein of unknown function	YOR215C
YMR31		2.57	2.56538	1.36177	1.35917	0	239.94	93.53	no	Mitochondrial ribosomal protein of the small subunit	YFR049W|mitochondrial 37S ribosomal protein YMR31
ADR1		2.59	2.59018	1.37295	1.37305	2.03E-6	32.17	12.42	no	Carbon source-responsive zinc-finger transcription factor	YDR216W
HXT17		2.6	2.60239	1.37851	1.37984	3.0899999999999998E-4	19.57	7.52	no	Hexose transporter	YNR072W
ATP2		2.62	2.6176	1.38957	1.38825	0	906.11	346.16	no	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase	YJR121W|F1F0 ATP synthase subunit beta
TRX3		2.63	2.63177	1.39506	1.39603	0	202.62	76.99	no	Mitochondrial thioredoxin	YCR083W
MLS1		2.65	2.65059	1.40599	1.40632	4.9799999999999998E-5	33.53	12.65	no	Malate synthase, enzyme of the glyoxylate cycle	YNL117W|malate synthase MLS1
YDR034W-B		2.65	2.65275	1.40599	1.40749	4.1299999999999996E-9	45.76	17.25	no	Predicted tail-anchored plasma membrane protein	YDR034W-B
YOR186W		2.66	2.6591	1.41143	1.41094	3.2900000000000001E-13	67.94	25.55	no	Putative protein of unknown function	YOR186W
YBR201C-A		2.66	2.66275	1.41143	1.41292	0	1261.4	473.72	no	Putative protein of unknown function	YBR201C-A
MAL31		2.67	2.66769	1.41684	1.41559	0	86.94	32.59	no	Maltose permease	YBR298C|MAL3T|MALT
HYP2		2.67	2.66875	1.41684	1.41616	1.7800000000000001E-14	593.93	222.55	no	Translation elongation factor eIF-5A	YEL034W|TIF51A|eIF-5A|eIF5A
USV1		2.68	2.68154	1.42223	1.42306	0	93.13	34.73	no	Putative transcription factor containing a C2H2 zinc finger	YPL230W|NSF1
CAT8		2.68	2.68159	1.42223	1.42309	9.1600000000000004E-5	21.56	8.04	no	Zinc cluster transcriptional activator	YMR280C|DIL1|MSP8
YFL052W		2.69	2.69116	1.42761	1.42823	8.7000000000000001E-5	21.61	8.03	no	Putative zinc cluster protein that contains a DNA binding domain	YFL052W|ROP1
SPI1		2.7	2.70492	1.43296	1.43558	0	675.58	249.76	no	GPI-anchored cell wall protein involved in weak acid resistance	YER150W
YOR214C		2.71	2.70887	1.43829	1.43769	4.4299999999999998E-7	33.59	12.4	no	Putative protein of unknown function	YOR214C
ALD6		2.71	2.70927	1.43829	1.4379	0	660.71	243.87	no	Cytosolic aldehyde dehydrogenase	YPL061W|ALD1|aldehyde dehydrogenase (NADP(+)) ALD6
NQM1		2.73	2.72946	1.4489	1.44861	0	226.19	82.87	no	Transaldolase of unknown function	YGR043C|sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate transaldolase NQM1
PRX1		2.73	2.73302	1.4489	1.4505	0	776.78	284.22	no	Mitochondrial peroxiredoxin with thioredoxin peroxidase activity	YBL064C
SOR1		2.74	2.74436	1.45418	1.45647	4.6699999999999999E-7	32.85	11.97	no	Sorbitol dehydrogenase	YJR159W|L-iditol 2-dehydrogenase SOR1|SDH1
TKL2		2.75	2.7454	1.45943	1.45702	0	79.15	28.83	no	Transketolase	YBR117C|transketolase TKL2
RNR2		2.75	2.74904	1.45943	1.45893	0	889.04	323.4	no	Ribonucleotide-diphosphate reductase (RNR), small subunit	YJL026W|CRT6|ribonucleotide-diphosphate reductase subunit RNR2
GLK1		2.75	2.75395	1.45943	1.4615	0	1372.65	498.43	no	Glucokinase	YCL040W|HOR3|glucokinase
MTC7		2.76	2.75751	1.46467	1.46337	7.9900000000000003E-11	77.1	27.96	no	Protein of unknown function	YEL033W
HSP12		2.77	2.77114	1.46989	1.47048	0	3971.37	1433.12	no	Plasma membrane protein involved in maintaining membrane organization	YFL014W|GLP1|HOR5
IGD1		2.77	2.77359	1.46989	1.47175	0	149.33	53.84	no	Cytoplasmic protein that inhibits Gdb1p glycogen debranching activity	YFR017C
CTT1		2.79	2.79008	1.48027	1.48031	0	91.71	32.87	no	Cytosolic catalase T	YGR088W|SPS101|catalase T
SOR2		2.79	2.79368	1.48027	1.48217	6.2799999999999998E-9	41.57	14.88	no	Protein of unknown function	YDL246C|L-iditol 2-dehydrogenase SOR2
ERG5		2.8	2.79953	1.48543	1.48518	1.13E-8	201.79	72.08	no	C-22 sterol desaturase	YMR015C|C-22 sterol desaturase|CYP61
GDB1		2.81	2.81191	1.49057	1.49155	2.5099999999999998E-14	68.47	24.35	no	Glycogen debranching enzyme	YPR184W|bifunctional 4-alpha-glucanotransferase/amylo-alpha-1,6-glucosidase
YIL024C		2.82	2.81774	1.4957	1.49454	0	86.42	30.67	no	Putative protein of unknown function	YIL024C
IZH3		2.82	2.82293	1.4957	1.49719	0	289.83	102.67	no	Membrane protein involved in zinc ion homeostasis	YLR023C
KGD2		2.83	2.8261	1.5008	1.49881	0	266.36	94.25	no	Dihydrolipoyl transsuccinylase	YDR148C|alpha-ketoglutarate dehydrogenase KGD2
STF2		2.84	2.8433	1.50589	1.50756	0	928.45	326.54	no	Protein involved in resistance to dessication stress	YGR008C
SUR1		2.86	2.86137	1.51602	1.51671	0	199.18	69.61	no	Mannosylinositol phosphorylceramide (MIPC) synthase catalytic subunit	YPL057C|BCL21|CSG1|LPE15|mannosylinositol phosphorylceramide synthase catalytic subunit SUR1
YLR154C-G		2.86	2.86216	1.51602	1.5171	0	715.74	250.07	no	Putative protein of unknown function	YLR154C-G
ATP7		2.88	2.88452	1.52607	1.52833	0	820.04	284.29	no	Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase	YKL016C|F1F0 ATP synthase subunit d
LEE1		2.89	2.88576	1.53107	1.52895	0	155.6	53.92	no	Zinc-finger protein of unknown function	YPL054W
ACS1		2.9	2.90214	1.53605	1.53712	1.1200000000000001E-11	52.79	18.19	no	Acetyl-coA synthetase isoform	YAL054C|FUN44|acetate--CoA ligase 1
YMR114C		2.9	2.90423	1.53605	1.53816	0	149.51	51.48	no	Protein of unknown function	YMR114C
PAU21		2.92	2.91698	1.54597	1.54448	5.4099999999999999E-7	68.87	23.61	no	Protein of unknown function	YOR394W
VHS1		2.92	2.92036	1.54597	1.54615	1.09E-13	61.97	21.22	no	Cytoplasmic serine/threonine protein kinase	YDR247W
YGL138C		2.94	2.93844	1.55582	1.55505	2.6699999999999998E-4	21.48	7.31	no	Putative protein of unknown function	YGL138C
GPX1		2.94	2.94053	1.55582	1.55608	0	132.03	44.9	no	Phospholipid hydroperoxide glutathione peroxidase	YKL026C|glutathione peroxidase GPX1
PAU2		2.99	2.99054	1.58015	1.5804	1.9499999999999999E-8	230.69	77.14	no	Member of the seripauperin multigene family	YEL049W
ATP5		2.99	2.99238	1.58015	1.58129	0	522.47	174.6	no	Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase	YDR298C|F1F0 ATP synthase subunit 5|OSC1
EMI2		3	3.00371	1.58496	1.58674	0	275.59	91.75	no	Non-essential protein of unknown function	YDR516C|putative glucokinase
NDE2		3.02	3.01579	1.59455	1.59253	4.9599999999999998E-14	61.13	20.27	no	Mitochondrial external NADH dehydrogenase	YDL085W|NADH-ubiquinone reductase (H(+)-translocating) NDE2|NDH2
YER121W		3.02	3.02151	1.59455	1.59527	3.0800000000000002E-10	43.54	14.41	no	Putative protein of unknown function	YER121W
YER085C		3.04	3.04113	1.60407	1.60461	4.5900000000000001E-8	33.27	10.94	no	Putative protein of unknown function	YER085C
YFL051C		3.08	3.07372	1.62293	1.61998	5.0099999999999998E-5	19.18	6.24	no	Putative protein of unknown function	YFL051C
MEF2		3.1	3.1023	1.63227	1.63334	4.1300000000000001E-4	14.86	4.79	no	Mitochondrial elongation factor involved in translational elongation	YJL102W
NDE1		3.14	3.14302	1.65076	1.65215	5.5400000000000001E-7	27.25	8.67	no	Mitochondrial external NADH dehydrogenase	YMR145C|NADH-ubiquinone reductase (H(+)-translocating) NDE1|NDH1
DLD1		3.17	3.17321	1.66448	1.66594	0	139.78	44.05	no	D-lactate dehydrogenase	YDL174C
YNR014W		3.19	3.18662	1.67356	1.67203	0	169.56	53.21	no	Putative protein of unknown function	YNR014W
CYC7		3.21	3.20664	1.68257	1.68106	0	256.82	80.09	no	Cytochrome c isoform 2, expressed under hypoxic conditions	YEL039C
PAU22		3.23	3.2296	1.69153	1.69135	1.5800000000000001E-7	70.05	21.69	no	Protein of unknown function	YPL282C
ATP1		3.24	3.24332	1.69599	1.69747	0	555.03	171.13	no	Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase	YBL099W|F1F0 ATP synthase subunit alpha
ATP20		3.25	3.25161	1.70044	1.70115	0	272.42	83.78	no	Subunit g of the mitochondrial F1F0 ATP synthase	YPR020W|F1F0 ATP synthase subunit g
RPM2		3.26	3.25623	1.70487	1.7032	0	66.59	20.45	no	Protein subunit of mitochondrial RNase P	YML091C
MDH1		3.3	3.29939	1.72247	1.7222	0	643.48	195.03	no	Mitochondrial malate dehydrogenase	YKL085W|malate dehydrogenase MDH1
SPO19		3.31	3.30713	1.72683	1.72558	1.67E-9	36.18	10.94	no	Meiosis-specific prospore protein	YPL130W
GND2		3.31	3.31505	1.72683	1.72903	0	125.11	37.74	no	6-phosphogluconate dehydrogenase (decarboxylating)	YGR256W|phosphogluconate dehydrogenase (decarboxylating) GND2
ATP17		3.32	3.32412	1.73118	1.73297	0	836.15	251.54	no	Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase	YDR377W|F1F0 ATP synthase subunit f
TIM11		3.34	3.34235	1.73985	1.74086	0	373.14	111.64	no	Subunit e of mitochondrial F1F0-ATPase	YDR322C-A|ATP21|F1F0 ATP synthase subunit e
MCR1		3.36	3.36028	1.74846	1.74858	0	458.14	136.34	no	Mitochondrial NADH-cytochrome b5 reductase	YKL150W
QCR2		3.37	3.36784	1.75275	1.75182	0	251.51	74.68	no	Subunit 2 of ubiquinol cytochrome-c reductase (Complex III)	YPR191W|COR2|UCR2|ubiquinol--cytochrome-c reductase subunit 2
STF1		3.38	3.37652	1.75702	1.75554	0	903.05	267.45	no	Protein involved in regulation of the mitochondrial F1F0-ATP synthase	YDL130W-A|AIS2
YHR138C		3.39	3.38944	1.76129	1.76105	0	553.36	163.26	no	Protein of unknown function	YHR138C
ISF1		3.39	3.39351	1.76129	1.76278	0	100.38	29.58	no	Serine-rich, hydrophilic protein	YMR081C|MBR3
XBP1		3.39	3.39448	1.76129	1.76319	0	61.44	18.1	no	Transcriptional repressor	YIL101C
SUT1		3.4	3.3989	1.76553	1.76507	0	161.21	47.43	no	Transcription factor of the Zn(II)2Cys6 family	YGL162W
MAL32		3.4	3.40749	1.76553	1.76871	1.26E-4	15.47	4.54	no	Maltase (alpha-D-glucosidase)	YBR299W|MAL3S|MALS
PIR3		3.41	3.4088	1.76977	1.76926	0	1247.45	365.95	no	O-glycosylated covalently-bound cell wall protein	YKL163W|CCW8
ATP14		3.44	3.4427	1.78241	1.78354	0	698.49	202.89	no	Subunit h of the F0 sector of mitochondrial F1F0 ATP synthase	YLR295C|F1F0 ATP synthase subunit h
COX6		3.45	3.44652	1.7866	1.78514	0	340.24	98.72	no	Subunit VI of cytochrome c oxidase (Complex IV)	YHR051W|cytochrome c oxidase subunit VI
HSP26		3.49	3.48601	1.80323	1.80157	0	5750.34	1649.55	no	Small heat shock protein (sHSP) with chaperone activity	YBR072W
PAU7		3.51	3.5064	1.81147	1.80999	0	167.15	47.67	no	Member of the seripauperin multigene family	YAR020C
QCR6		3.53	3.53015	1.81967	1.81973	0	760.5	215.43	no	Subunit 6 of the ubiquinol cytochrome-c reductase complex	YFR033C|COR3|UCR6|ubiquinol--cytochrome-c reductase subunit 6
PGM2		3.53	3.53115	1.81967	1.82014	2.5900000000000001E-12	427.41	121.04	no	Phosphoglucomutase	YMR105C|GAL5|phosphoglucomutase PGM2
MTH1		3.54	3.5381	1.82375	1.82298	0	265.11	74.93	no	Negative regulator of the glucose-sensing signal transduction pathway	YDR277C|BPC1|DGT1|HTR1
QCR9		3.57	3.5665	1.83592	1.83451	0	642.22	180.07	no	Subunit 9 of ubiquinol cytochrome-c reductase (Complex III)	YGR183C|UCR9|ubiquinol--cytochrome-c reductase subunit 9
CYC3		3.58	3.58146	1.83996	1.84055	0	360.94	100.78	no	Cytochrome c heme lyase (holocytochrome c synthase)	YAL039C|holocytochrome c synthase CYC3
